Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.5417,01/10/2023,31/10/2023
Albania,Lek,ALL,122.9096,01/10/2023,31/10/2023
Algeria,Dinar,DZD,169.4710,01/10/2023,31/10/2023
Angola,Readj Kwanza,AOA,1032.2150,01/10/2023,31/10/2023
Antigua,E Caribbean Dollar,XCD,3.3419,01/10/2023,31/10/2023
Argentina,Peso,ARS,432.8249,01/10/2023,31/10/2023
Armenia,Dram,AMD,474.3925,01/10/2023,31/10/2023
Aruba,Florin,AWG,2.2136,01/10/2023,31/10/2023
Australia,Dollar,AUD,1.9067,01/10/2023,31/10/2023
Azerbaijan,New Manat,AZN,2.1046,01/10/2023,31/10/2023
Bahamas,Dollar,BSD,1.2367,01/10/2023,31/10/2023
Bahrain,Dinar,BHD,0.4650,01/10/2023,31/10/2023
Bangladesh,Taka,BDT,135.7564,01/10/2023,31/10/2023
Barbados,Dollar,BBD,2.4734,01/10/2023,31/10/2023
Belarus,Rouble,BYN,3.0912,01/10/2023,31/10/2023
Belize,Dollar,BZD,2.4910,01/10/2023,31/10/2023
Benin,CFA Franc,XOF,757.9707,01/10/2023,31/10/2023
Bermuda,Dollar (US),BMD,1.2367,01/10/2023,31/10/2023
Bhutan,Ngultrum,BTN,102.7396,01/10/2023,31/10/2023
Bolivia,Boliviano,BOB,8.5375,01/10/2023,31/10/2023
Bosnia- Herzegovinia,Marka,BAM,2.2600,01/10/2023,31/10/2023
Botswana,Pula,BWP,16.8386,01/10/2023,31/10/2023
Brazil,Real,BRL,6.0191,01/10/2023,31/10/2023
Brunei,Dollar,BND,1.6854,01/10/2023,31/10/2023
Bulgaria,Lev,BGN,2.2600,01/10/2023,31/10/2023
Burkina Faso,CFA Franc,XOF,757.9707,01/10/2023,31/10/2023
Burundi,Franc,BIF,3506.8970,01/10/2023,31/10/2023
Cambodia,Riel,KHR,5101.0870,01/10/2023,31/10/2023
Cameroon Republic,CFA Franc,XAF,757.9707,01/10/2023,31/10/2023
Canada,Dollar,CAD,1.6608,01/10/2023,31/10/2023
Cape Verde Islands,Escudo,CVE,127.4191,01/10/2023,31/10/2023
Cayman Islands,Dollar,KYD,1.0168,01/10/2023,31/10/2023
Central African Republic,CFA Franc,XAF,757.9707,01/10/2023,31/10/2023
Chad,CFA Franc,XAF,757.9707,01/10/2023,31/10/2023
Chile,Peso,CLP,1095.5090,01/10/2023,31/10/2023
China,Yuan,CNY,9.0218,01/10/2023,31/10/2023
Colombia,Peso,COP,4857.9660,01/10/2023,31/10/2023
Comoros,Franc,KMF,568.4780,01/10/2023,31/10/2023
Congo (Brazaville),CFA Franc,XAF,757.9707,01/10/2023,31/10/2023
Congo (DemRep),Congo Fr,CDF,3009.9000,01/10/2023,31/10/2023
Costa Rica,Colon,CRC,659.0244,01/10/2023,31/10/2023
Cote d'Ivoire,CFA Franc,XOF,757.9707,01/10/2023,31/10/2023
Cuba,Peso,CUP,29.6570,01/10/2023,31/10/2023
Czech Republic,Koruna,CZK,28.1804,01/10/2023,31/10/2023
Denmark,Krone,DKK,8.6121,01/10/2023,31/10/2023
Djibouti,Franc,DJF,219.9235,01/10/2023,31/10/2023
Dominica,E Caribbean Dollar,XCD,3.3419,01/10/2023,31/10/2023
Dominican Republic,Peso,DOP,70.1768,01/10/2023,31/10/2023
Dubai,Dirham,AED,4.5417,01/10/2023,31/10/2023
Egypt,Pound,EGP,38.2159,01/10/2023,31/10/2023
El Salvador,Colon,SVC,10.8209,01/10/2023,31/10/2023
Equatorial Guinea,CFA Franc,XAF,757.9707,01/10/2023,31/10/2023
Eritrea,Nakfa,ERN,18.5501,01/10/2023,31/10/2023
Ethiopia,Birr,ETB,68.4233,01/10/2023,31/10/2023
Eurozone,Euro,EUR,1.1555,01/10/2023,31/10/2023
Fiji Islands,Dollar,FJD,2.7919,01/10/2023,31/10/2023
Fr. Polynesia,CFP Franc,XPF,137.8901,01/10/2023,31/10/2023
Gabon,CFA Franc,XAF,757.9707,01/10/2023,31/10/2023
Gambia,Dalasi,GMD,74.8736,01/10/2023,31/10/2023
Georgia,Lari,GEL,3.3245,01/10/2023,31/10/2023
Ghana,Cedi,GHS,14.2515,01/10/2023,31/10/2023
Grenada,E Caribbean Dollar,XCD,3.3419,01/10/2023,31/10/2023
Guatemala,Quetzal,GTQ,9.7241,01/10/2023,31/10/2023
Guinea Bissau,CFA Franc,XOF,757.9707,01/10/2023,31/10/2023
Guinea Republic,Franc,GNF,10613.2200,01/10/2023,31/10/2023
Guyana,Dollar,GYD,258.1823,01/10/2023,31/10/2023
Haiti,Gourde,HTG,166.7942,01/10/2023,31/10/2023
Honduras,Lempira,HNL,30.4900,01/10/2023,31/10/2023
Hong Kong,Dollar,HKD,9.6749,01/10/2023,31/10/2023
Hungary,Forint,HUF,443.3823,01/10/2023,31/10/2023
Iceland,Krona,ISK,167.8979,01/10/2023,31/10/2023
India,Rupee,INR,102.7396,01/10/2023,31/10/2023
Indonesia,Rupiah,IDR,18996.5400,01/10/2023,31/10/2023
Iraq,Dinar,IQD,1621.2070,01/10/2023,31/10/2023
Israel,Shekel,ILS,4.7120,01/10/2023,31/10/2023
Jamaica,Dollar,JMD,191.2289,01/10/2023,31/10/2023
Japan,Yen,JPY,182.9018,01/10/2023,31/10/2023
Jordan,Dinar,JOD,0.8768,01/10/2023,31/10/2023
Kazakhstan,Tenge,KZT,585.4002,01/10/2023,31/10/2023
Kenya,Schilling,KES,182.0572,01/10/2023,31/10/2023
Kuwait,Dinar,KWD,0.3818,01/10/2023,31/10/2023
Kyrgyz Republic,Som,KGS,109.7060,01/10/2023,31/10/2023
