Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.0532,01/09/2021,30/09/2021
Albania,Lek,ALL,142.7300,01/09/2021,30/09/2021
Algeria,Dinar,DZD,186.2600,01/09/2021,30/09/2021
Angola,Readj Kwanza,AOA,889.9900,01/09/2021,30/09/2021
Antigua,E Caribbean Dollar,XCD,3.7144,01/09/2021,30/09/2021
Argentina,Peso,ARS,133.8100,01/09/2021,30/09/2021
Armenia,Dram,AMD,675.5800,01/09/2021,30/09/2021
Aruba,Florin,AWG,2.4625,01/09/2021,30/09/2021
Australia,Dollar,AUD,1.9009,01/09/2021,30/09/2021
Azerbaijan,New Manat,AZN,2.3373,01/09/2021,30/09/2021
Bahamas,Dollar,BSD,1.3757,01/09/2021,30/09/2021
Bahrain,Dinar,BHD,0.5187,01/09/2021,30/09/2021
Bangladesh,Taka,BDT,116.8700,01/09/2021,30/09/2021
Barbados,Dollar,BBD,2.7514,01/09/2021,30/09/2021
Belarus,Rouble,BYN,3.4560,01/09/2021,30/09/2021
Belize,Dollar,BZD,2.7514,01/09/2021,30/09/2021
Benin,CFA Franc,XOF,770.5200,01/09/2021,30/09/2021
Bermuda,Dollar (US),BMD,1.3757,01/09/2021,30/09/2021
Bhutan,Ngultrum,BTN,102.1400,01/09/2021,30/09/2021
Bolivia,Boliviano,BOB,9.5061,01/09/2021,30/09/2021
Bosnia- Herzegovinia,Marka,BAM,2.2974,01/09/2021,30/09/2021
Botswana,Pula,BWP,15.4200,01/09/2021,30/09/2021
Brazil,Real,BRL,7.3045,01/09/2021,30/09/2021
Brunei,Dollar,BND,1.8716,01/09/2021,30/09/2021
Bulgaria,Lev,BGN,2.2976,01/09/2021,30/09/2021
Burkina Faso,CFA Franc,XOF,770.5200,01/09/2021,30/09/2021
Burundi,Franc,BIF,2729.2400,01/09/2021,30/09/2021
Cambodia,Riel,KHR,5611.9400,01/09/2021,30/09/2021
Cameroon Republic,CFA Franc,XAF,770.5200,01/09/2021,30/09/2021
Canada,Dollar,CAD,1.7371,01/09/2021,30/09/2021
Cape Verde Islands,Escudo,CVE,129.5100,01/09/2021,30/09/2021
Cayman Islands,Dollar,KYD,1.1281,01/09/2021,30/09/2021
Central African Republic,CFA Franc,XAF,770.5200,01/09/2021,30/09/2021
Chad,CFA Franc,XAF,770.5200,01/09/2021,30/09/2021
Chile,Peso,CLP,1081.5300,01/09/2021,30/09/2021
China,Yuan,CNY,8.9150,01/09/2021,30/09/2021
Colombia,Peso,COP,5313.3800,01/09/2021,30/09/2021
Comoros,Franc,KMF,577.8900,01/09/2021,30/09/2021
Congo (Brazaville),CFA Franc,XAF,770.5200,01/09/2021,30/09/2021
Congo (DemRep),Congo Fr,CDF,2723.4100,01/09/2021,30/09/2021
Costa Rica,Colon,CRC,852.3600,01/09/2021,30/09/2021
Cote d'Ivoire,CFA Franc,XOF,770.5200,01/09/2021,30/09/2021
Croatia,Kuna,HRK,8.8073,01/09/2021,30/09/2021
Cuba,Peso,CUP,1.3757,01/09/2021,30/09/2021
Czech Republic,Koruna,CZK,29.8700,01/09/2021,30/09/2021
Denmark,Krone,DKK,8.7355,01/09/2021,30/09/2021
Djibouti,Franc,DJF,244.4900,01/09/2021,30/09/2021
Dominica,E Caribbean Dollar,XCD,3.7144,01/09/2021,30/09/2021
Dominican Republic,Peso,DOP,78.4900,01/09/2021,30/09/2021
Dubai,Dirham,AED,5.0532,01/09/2021,30/09/2021
Ecuador,Dollar,ECS,1.3757,01/09/2021,30/09/2021
Egypt,Pound,EGP,21.5900,01/09/2021,30/09/2021
El Salvador,Colon,SVC,12.0300,01/09/2021,30/09/2021
Equatorial Guinea,CFA Franc,XAF,770.5200,01/09/2021,30/09/2021
Eritrea,Nakfa,ERN,20.6300,01/09/2021,30/09/2021
Ethiopia,Birr,ETB,62.5000,01/09/2021,30/09/2021
Eurozone,Euro,EUR,1.1747,01/09/2021,30/09/2021
Fiji Islands,Dollar,FJD,2.8957,01/09/2021,30/09/2021
Fr. Polynesia,CFP Franc,XPF,140.1700,01/09/2021,30/09/2021
Gabon,CFA Franc,XAF,770.5200,01/09/2021,30/09/2021
Gambia,Dalasi,GMD,70.6000,01/09/2021,30/09/2021
Georgia,Lari,GEL,4.2991,01/09/2021,30/09/2021
Ghana,Cedi,GHS,8.3093,01/09/2021,30/09/2021
Grenada,E Caribbean Dollar,XCD,3.7144,01/09/2021,30/09/2021
Guatemala,Quetzal,GTQ,10.6400,01/09/2021,30/09/2021
Guinea Bissau,CFA Franc,XOF,770.5200,01/09/2021,30/09/2021
Guinea Republic,Franc,GNF,13477.7900,01/09/2021,30/09/2021
Guyana,Dollar,GYD,287.5500,01/09/2021,30/09/2021
Haiti,Gourde,HTG,131.5900,01/09/2021,30/09/2021
Honduras,Lempira,HNL,32.7400,01/09/2021,30/09/2021
Hong Kong,Dollar,HKD,10.7100,01/09/2021,30/09/2021
Hungary,Forint,HUF,411.5200,01/09/2021,30/09/2021
Iceland,Krona,ISK,174.3200,01/09/2021,30/09/2021
India,Rupee,INR,102.1400,01/09/2021,30/09/2021
Indonesia,Rupiah,IDR,19772.3400,01/09/2021,30/09/2021
Iraq,Dinar,IQD,2007.1800,01/09/2021,30/09/2021
Israel,Shekel,ILS,4.4483,01/09/2021,30/09/2021
Jamaica,Dollar,JMD,212.5400,01/09/2021,30/09/2021
Japan,Yen,JPY,151.1800,01/09/2021,30/09/2021
Jordan,Dinar,JOD,0.9754,01/09/2021,30/09/2021
Kazakhstan,Tenge,KZT,585.8300,01/09/2021,30/09/2021
Kenya,Schilling,KES,150.6300,01/09/2021,30/09/2021
Kuwait,Dinar,KWD,0.4141,01/09/2021,30/09/2021
Kyrgyz Republic,Som,KGS,116.3800,01/09/2021,30/09/2021
Lao People's Dem Rep,Kip,LAK,13190.4800,01/09/2021,30/09/2021
Lebanon,Pound,LBP,2077.6700,01/09/2021,30/09/2021
Lesotho,Loti,LSL,20.5800,01/09/2021,30/09/2021
Liberia,Dollar (US),USD,1.3757,01/09/2021,30/09/2021
Libya,Dinar,LYD,6.2215,01/09/2021,30/09/2021
Macao,Pataca,MOP,11.0300,01/09/2021,30/09/2021
Macedonia,Denar,MKD,72.3000,01/09/2021,30/09/2021
Madagascar,Malagasy Ariary,MGA,5381.8200,01/09/2021,30/09/2021
Malawi,Kwacha,MWK,1117.7700,01/09/2021,30/09/2021
Malaysia,Ringgit,MYR,5.8302,01/09/2021,30/09/2021
Maldive Islands,Rufiyaa,MVR,21.2600,01/09/2021,30/09/2021
Mali Republic,CFA Franc,XOF,770.5200,01/09/2021,30/09/2021
Mauritania,Ouguiya,MRU,49.1500,01/09/2021,30/09/2021
Mauritius,Rupee,MUR,59.0800,01/09/2021,30/09/2021
Mexico,Mexican Peso,MXN,27.5000,01/09/2021,30/09/2021
Moldova,Leu,MDL,24.1400,01/09/2021,30/09/2021
Mongolia,Tugrik,MNT,3935.8900,01/09/2021,30/09/2021
Montserrat,E Caribbean Dollar,XCD,3.7144,01/09/2021,30/09/2021
Morocco,Dirham,MAD,12.3900,01/09/2021,30/09/2021
Mozambique,Metical,MZN,87.5700,01/09/2021,30/09/2021
Myanmar,Kyat,MMK,2264.5700,01/09/2021,30/09/2021
Nepal,Rupee,NPR,163.4200,01/09/2021,30/09/2021
New Caledonia,CFP Franc,XPF,140.1700,01/09/2021,30/09/2021
New Zealand,Dollar,NZD,1.9977,01/09/2021,30/09/2021
Nicaragua,Gold Cordoba,NIO,48.4000,01/09/2021,30/09/2021
Niger Republic,CFA Franc,XOF,770.5200,01/09/2021,30/09/2021
Nigeria,Naira,NGN,566.7900,01/09/2021,30/09/2021
Norway,Norwegian Krone,NOK,12.2400,01/09/2021,30/09/2021
Oman,Rial,OMR,0.5296,01/09/2021,30/09/2021
