Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.1612,01/03/2021,31/03/2021
Albania,Lek,ALL,143.1100,01/03/2021,31/03/2021
Algeria,Dinar,DZD,186.8900,01/03/2021,31/03/2021
Angola,Readj Kwanza,AOA,914.7200,01/03/2021,31/03/2021
Antigua,E Caribbean Dollar,XCD,3.7938,01/03/2021,31/03/2021
Argentina,Peso,ARS,125.6600,01/03/2021,31/03/2021
Armenia,Dram,AMD,737.8200,01/03/2021,31/03/2021
Aruba,Florin,AWG,2.5151,01/03/2021,31/03/2021
Australia,Dollar,AUD,1.7778,01/03/2021,31/03/2021
Azerbaijan,New Manat,AZN,2.3873,01/03/2021,31/03/2021
Bahamas,Dollar,BSD,1.4051,01/03/2021,31/03/2021
Bahrain,Dinar,BHD,0.5298,01/03/2021,31/03/2021
Bangladesh,Taka,BDT,118.9700,01/03/2021,31/03/2021
Barbados,Dollar,BBD,2.8102,01/03/2021,31/03/2021
Belarus,Rouble,BYN,3.6568,01/03/2021,31/03/2021
Belize,Dollar,BZD,2.8102,01/03/2021,31/03/2021
Benin,CFA Franc,XOF,759.3700,01/03/2021,31/03/2021
Bermuda,Dollar (US),BMD,1.4051,01/03/2021,31/03/2021
Bhutan,Ngultrum,BTN,101.8500,01/03/2021,31/03/2021
Bolivia,Boliviano,BOB,9.7093,01/03/2021,31/03/2021
Bosnia- Herzegovinia,Marka,BAM,2.2642,01/03/2021,31/03/2021
Botswana,Pula,BWP,15.2400,01/03/2021,31/03/2021
Brazil,Real,BRL,7.7229,01/03/2021,31/03/2021
Brunei,Dollar,BND,1.8590,01/03/2021,31/03/2021
Bulgaria,Lev,BGN,2.2643,01/03/2021,31/03/2021
Burkina Faso,CFA Franc,XOF,759.3700,01/03/2021,31/03/2021
Burundi,Franc,BIF,2755.4100,01/03/2021,31/03/2021
Cambodia,Riel,KHR,5718.7800,01/03/2021,31/03/2021
Cameroon Republic,CFA Franc,XAF,759.3700,01/03/2021,31/03/2021
Canada,Dollar,CAD,1.7727,01/03/2021,31/03/2021
Cape Verde Islands,Escudo,CVE,128.1800,01/03/2021,31/03/2021
Cayman Islands,Dollar,KYD,1.1522,01/03/2021,31/03/2021
Central African Republic,CFA Franc,XAF,759.3700,01/03/2021,31/03/2021
Chad,CFA Franc,XAF,759.3700,01/03/2021,31/03/2021
Chile,Peso,CLP,995.5900,01/03/2021,31/03/2021
China,Yuan,CNY,9.0885,01/03/2021,31/03/2021
Colombia,Peso,COP,5055.9200,01/03/2021,31/03/2021
Comoros,Franc,KMF,569.5200,01/03/2021,31/03/2021
Congo (Brazaville),CFA Franc,XAF,759.3700,01/03/2021,31/03/2021
Congo (DemRep),Congo Fr,CDF,2777.8900,01/03/2021,31/03/2021
Costa Rica,Colon,CRC,857.4500,01/03/2021,31/03/2021
Cote d'Ivoire,CFA Franc,XOF,759.3700,01/03/2021,31/03/2021
Croatia,Kuna,HRK,8.7647,01/03/2021,31/03/2021
Cuba,Peso,CUP,1.4051,01/03/2021,31/03/2021
Czech Republic,Koruna,CZK,29.9800,01/03/2021,31/03/2021
Denmark,Krone,DKK,8.6085,01/03/2021,31/03/2021
Djibouti,Franc,DJF,249.7100,01/03/2021,31/03/2021
Dominica,E Caribbean Dollar,XCD,3.7938,01/03/2021,31/03/2021
Dominican Republic,Peso,DOP,81.4200,01/03/2021,31/03/2021
Dubai,Dirham,AED,5.1612,01/03/2021,31/03/2021
Ecuador,Dollar,ECS,1.4051,01/03/2021,31/03/2021
Egypt,Pound,EGP,22.0300,01/03/2021,31/03/2021
