Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6616,01/04/2024,30/04/2024
Albania,Lek,ALL,120.4830,01/04/2024,30/04/2024
Algeria,Dinar,DZD,170.8161,01/04/2024,30/04/2024
Angola,Readj Kwanza,AOA,1075.3120,01/04/2024,30/04/2024
Antigua,E Caribbean Dollar,XCD,3.4288,01/04/2024,30/04/2024
Argentina,Peso,ARS,1082.9595,01/04/2024,30/04/2024
Armenia,Dram,AMD,507.8302,01/04/2024,30/04/2024
Aruba,Florin,AWG,2.2721,01/04/2024,30/04/2024
Australia,Dollar,AUD,1.9472,01/04/2024,30/04/2024
Azerbaijan,New Manat,AZN,2.1585,01/04/2024,30/04/2024
Bahamas,Dollar,BSD,1.2693,01/04/2024,30/04/2024
Bahrain,Dinar,BHD,0.4773,01/04/2024,30/04/2024
Bangladesh,Taka,BDT,139.1966,01/04/2024,30/04/2024
Barbados,Dollar,BBD,2.5386,01/04/2024,30/04/2024
Belarus,Rouble,BYN,4.1463,01/04/2024,30/04/2024
Belize,Dollar,BZD,2.5572,01/04/2024,30/04/2024
Benin,CFA Franc,XOF,767.9320,01/04/2024,30/04/2024
Bermuda,Dollar (US),BMD,1.2693,01/04/2024,30/04/2024
Bhutan,Ngultrum,BTN,105.5819,01/04/2024,30/04/2024
Bolivia,Boliviano,BOB,8.7785,01/04/2024,30/04/2024
Bosnia- Herzegovinia,Marka,BAM,2.2897,01/04/2024,30/04/2024
Botswana,Pula,BWP,17.3802,01/04/2024,30/04/2024
Brazil,Real,BRL,6.3852,01/04/2024,30/04/2024
Brunei,Dollar,BND,1.7065,01/04/2024,30/04/2024
Bulgaria,Lev,BGN,2.2897,01/04/2024,30/04/2024
Burkina Faso,CFA Franc,XOF,767.9320,01/04/2024,30/04/2024
Burundi,Franc,BIF,3627.6074,01/04/2024,30/04/2024
Cambodia,Riel,KHR,5141.4855,01/04/2024,30/04/2024
Cameroon Republic,CFA Franc,XAF,767.9320,01/04/2024,30/04/2024
Canada,Dollar,CAD,1.7255,01/04/2024,30/04/2024
Cape Verde Islands,Escudo,CVE,129.0936,01/04/2024,30/04/2024
Cayman Islands,Dollar,KYD,1.0422,01/04/2024,30/04/2024
