Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6039,01/12/2023,31/12/2023
Albania,Lek,ALL,118.6571,01/12/2023,31/12/2023
Algeria,Dinar,DZD,168.5792,01/12/2023,31/12/2023
Angola,Readj Kwanza,AOA,1050.1050,01/12/2023,31/12/2023
Antigua,E Caribbean Dollar,XCD,3.3908,01/12/2023,31/12/2023
Argentina,Peso,ARS,446.2497,01/12/2023,31/12/2023
Armenia,Dram,AMD,503.0878,01/12/2023,31/12/2023
Aruba,Florin,AWG,2.2439,01/12/2023,31/12/2023
Australia,Dollar,AUD,1.9097,01/12/2023,31/12/2023
Azerbaijan,New Manat,AZN,2.1311,01/12/2023,31/12/2023
Bahamas,Dollar,BSD,1.2536,01/12/2023,31/12/2023
Bahrain,Dinar,BHD,0.4714,01/12/2023,31/12/2023
Bangladesh,Taka,BDT,138.9790,01/12/2023,31/12/2023
Barbados,Dollar,BBD,2.5072,01/12/2023,31/12/2023
Belarus,Rouble,BYN,4.1426,01/12/2023,31/12/2023
Belize,Dollar,BZD,2.5259,01/12/2023,31/12/2023
Benin,CFA Franc,XOF,754.3199,01/12/2023,31/12/2023
Bermuda,Dollar (US),BMD,1.2536,01/12/2023,31/12/2023
Bhutan,Ngultrum,BTN,104.4489,01/12/2023,31/12/2023
Bolivia,Boliviano,BOB,8.6596,01/12/2023,31/12/2023
Bosnia- Herzegovinia,Marka,BAM,2.2491,01/12/2023,31/12/2023
Botswana,Pula,BWP,16.9548,01/12/2023,31/12/2023
Brazil,Real,BRL,6.1456,01/12/2023,31/12/2023
Brunei,Dollar,BND,1.6802,01/12/2023,31/12/2023
Bulgaria,Lev,BGN,2.2491,01/12/2023,31/12/2023
Burkina Faso,CFA Franc,XOF,754.3199,01/12/2023,31/12/2023
Burundi,Franc,BIF,3566.9549,01/12/2023,31/12/2023
Cambodia,Riel,KHR,5155.6452,01/12/2023,31/12/2023
Cameroon Republic,CFA Franc,XAF,754.3199,01/12/2023,31/12/2023
Canada,Dollar,CAD,1.7184,01/12/2023,31/12/2023
Cape Verde Islands,Escudo,CVE,126.8054,01/12/2023,31/12/2023
Cayman Islands,Dollar,KYD,1.0340,01/12/2023,31/12/2023
Central African Republic,CFA Franc,XAF,754.3199,01/12/2023,31/12/2023
Chad,CFA Franc,XAF,754.3199,01/12/2023,31/12/2023
Chile,Peso,CLP,1089.9829,01/12/2023,31/12/2023
China,Yuan,CNY,8.9466,01/12/2023,31/12/2023
Colombia,Peso,COP,5103.4100,01/12/2023,31/12/2023
Comoros,Franc,KMF,565.7400,01/12/2023,31/12/2023
Congo (Brazaville),CFA Franc,XAF,754.3199,01/12/2023,31/12/2023
Congo (DemRep),Congo Fr,CDF,3339.7648,01/12/2023,31/12/2023
Costa Rica,Colon,CRC,665.9352,01/12/2023,31/12/2023
Cote d'Ivoire,CFA Franc,XOF,754.3199,01/12/2023,31/12/2023
Cuba,Peso,CUP,30.0885,01/12/2023,31/12/2023
Czech Republic,Koruna,CZK,28.1683,01/12/2023,31/12/2023
Denmark,Krone,DKK,8.5727,01/12/2023,31/12/2023
Djibouti,Franc,DJF,223.0209,01/12/2023,31/12/2023
Dominica,E Caribbean Dollar,XCD,3.3908,01/12/2023,31/12/2023
Dominican Republic,Peso,DOP,71.2733,01/12/2023,31/12/2023
Dubai,Dirham,AED,4.6039,01/12/2023,31/12/2023
Egypt,Pound,EGP,38.7361,01/12/2023,31/12/2023
El Salvador,Colon,SVC,10.9690,01/12/2023,31/12/2023
Equatorial Guinea,CFA Franc,XAF,754.3199,01/12/2023,31/12/2023
Eritrea,Nakfa,ERN,18.8040,01/12/2023,31/12/2023
Ethiopia,Birr,ETB,70.0489,01/12/2023,31/12/2023
Eurozone,Euro,EUR,1.1500,01/12/2023,31/12/2023
Fiji Islands,Dollar,FJD,2.8103,01/12/2023,31/12/2023
Fr. Polynesia,CFP Franc,XPF,137.2259,01/12/2023,31/12/2023
Gabon,CFA Franc,XAF,754.3199,01/12/2023,31/12/2023
Gambia,Dalasi,GMD,84.2308,01/12/2023,31/12/2023
Georgia,Lari,GEL,3.3972,01/12/2023,31/12/2023
Ghana,Cedi,GHS,14.9951,01/12/2023,31/12/2023
Grenada,E Caribbean Dollar,XCD,3.3908,01/12/2023,31/12/2023
Guatemala,Quetzal,GTQ,9.8128,01/12/2023,31/12/2023
Guinea Bissau,CFA Franc,XOF,754.3199,01/12/2023,31/12/2023
Guinea Republic,Franc,GNF,10774.4820,01/12/2023,31/12/2023
Guyana,Dollar,GYD,261.8408,01/12/2023,31/12/2023
Haiti,Gourde,HTG,166.3544,01/12/2023,31/12/2023
Honduras,Lempira,HNL,31.0183,01/12/2023,31/12/2023
Hong Kong,Dollar,HKD,9.7728,01/12/2023,31/12/2023
Hungary,Forint,HUF,437.6076,01/12/2023,31/12/2023
Iceland,Krona,ISK,176.7592,01/12/2023,31/12/2023
India,Rupee,INR,104.4489,01/12/2023,31/12/2023
Indonesia,Rupiah,IDR,19557.4352,01/12/2023,31/12/2023
Iraq,Dinar,IQD,1644.8512,01/12/2023,31/12/2023
Israel,Shekel,ILS,4.6704,01/12/2023,31/12/2023
Jamaica,Dollar,JMD,195.2296,01/12/2023,31/12/2023
Japan,Yen,JPY,186.5126,01/12/2023,31/12/2023
Jordan,Dinar,JOD,0.8888,01/12/2023,31/12/2023
Kazakhstan,Tenge,KZT,573.4329,01/12/2023,31/12/2023
Kenya,Schilling,KES,191.4347,01/12/2023,31/12/2023
Kuwait,Dinar,KWD,0.3862,01/12/2023,31/12/2023
Kyrgyz Republic,Som,KGS,111.4868,01/12/2023,31/12/2023
Lao People's Dem Rep,Kip,LAK,26014.2058,01/12/2023,31/12/2023
Lebanon,Pound,LBP,18798.7087,01/12/2023,31/12/2023
Lesotho,Loti,LSL,23.4295,01/12/2023,31/12/2023
Liberia,Dollar,LRD,238.3967,01/12/2023,31/12/2023
Libya,Dinar,LYD,6.0567,01/12/2023,31/12/2023
Macao,Pataca,MOP,10.0660,01/12/2023,31/12/2023
Macedonia,Denar,MKD,70.8040,01/12/2023,31/12/2023
Madagascar,Malagasy Ariary,MGA,5660.5926,01/12/2023,31/12/2023
Malawi,Kwacha,MWK,2114.3579,01/12/2023,31/12/2023
Malaysia,Ringgit,MYR,5.8646,01/12/2023,31/12/2023
Maldive Islands,Rufiyaa,MVR,19.3306,01/12/2023,31/12/2023
Mali Republic,CFA Franc,XOF,754.3199,01/12/2023,31/12/2023
Mauritania,Ouguiya,MRU,50.0170,01/12/2023,31/12/2023
Mauritius,Rupee,MUR,55.3630,01/12/2023,31/12/2023
Mexico,Mexican Peso,MXN,21.5583,01/12/2023,31/12/2023
Moldova,Leu,MDL,22.2714,01/12/2023,31/12/2023
Mongolia,Tugrik,MNT,4347.9247,01/12/2023,31/12/2023
Montserrat,E Caribbean Dollar,XCD,3.3908,01/12/2023,31/12/2023
Morocco,Dirham,MAD,12.7002,01/12/2023,31/12/2023
