Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.5750,01/05/2024,31/05/2024
Albania,Lek,ALL,119.1801,01/05/2024,31/05/2024
Algeria,Dinar,DZD,167.9394,01/05/2024,31/05/2024
Angola,Readj Kwanza,AOA,1048.3017,01/05/2024,31/05/2024
Antigua,E Caribbean Dollar,XCD,3.3635,01/05/2024,31/05/2024
Argentina,Peso,ARS,1082.2707,01/05/2024,31/05/2024
Armenia,Dram,AMD,493.0518,01/05/2024,31/05/2024
Aruba,Florin,AWG,2.2299,01/05/2024,31/05/2024
Australia,Dollar,AUD,1.9385,01/05/2024,31/05/2024
Azerbaijan,New Manat,AZN,2.1193,01/05/2024,31/05/2024
Bahamas,Dollar,BSD,1.2457,01/05/2024,31/05/2024
Bahrain,Dinar,BHD,0.4684,01/05/2024,31/05/2024
Bangladesh,Taka,BDT,136.7026,01/05/2024,31/05/2024
Barbados,Dollar,BBD,2.4915,01/05/2024,31/05/2024
Belarus,Rouble,BYN,4.0736,01/05/2024,31/05/2024
Belize,Dollar,BZD,2.5096,01/05/2024,31/05/2024
Benin,CFA Franc,XOF,768.3689,01/05/2024,31/05/2024
Bermuda,Dollar (US),BMD,1.2457,01/05/2024,31/05/2024
Bhutan,Ngultrum,BTN,104.2174,01/05/2024,31/05/2024
Bolivia,Boliviano,BOB,8.6254,01/05/2024,31/05/2024
Bosnia- Herzegovinia,Marka,BAM,2.2910,01/05/2024,31/05/2024
Botswana,Pula,BWP,17.2228,01/05/2024,31/05/2024
Brazil,Real,BRL,6.5811,01/05/2024,31/05/2024
Brunei,Dollar,BND,1.6976,01/05/2024,31/05/2024
Bulgaria,Lev,BGN,2.2910,01/05/2024,31/05/2024
Burkina Faso,CFA Franc,XOF,768.3689,01/05/2024,31/05/2024
Burundi,Franc,BIF,3569.8672,01/05/2024,31/05/2024
Cambodia,Riel,KHR,5037.4718,01/05/2024,31/05/2024
Cameroon Republic,CFA Franc,XAF,768.3689,01/05/2024,31/05/2024
Canada,Dollar,CAD,1.7205,01/05/2024,31/05/2024
Cape Verde Islands,Escudo,CVE,129.1671,01/05/2024,31/05/2024
Cayman Islands,Dollar,KYD,1.0215,01/05/2024,31/05/2024
Central African Republic,CFA Franc,XAF,768.3689,01/05/2024,31/05/2024
Chad,CFA Franc,XAF,768.3689,01/05/2024,31/05/2024
Chile,Peso,CLP,1223.5236,01/05/2024,31/05/2024
China,Yuan,CNY,9.0175,01/05/2024,31/05/2024
Colombia,Peso,COP,4888.1158,01/05/2024,31/05/2024
Comoros,Franc,KMF,576.2767,01/05/2024,31/05/2024
Congo (Brazaville),CFA Franc,XAF,768.3689,01/05/2024,31/05/2024
Congo (DemRep),Congo Fr,CDF,3464.6971,01/05/2024,31/05/2024
Costa Rica,Colon,CRC,624.2452,01/05/2024,31/05/2024
Cote d'Ivoire,CFA Franc,XOF,768.3689,01/05/2024,31/05/2024
Cuba,Peso,CUP,29.8506,01/05/2024,31/05/2024
Czech Republic,Koruna,CZK,29.5549,01/05/2024,31/05/2024
Denmark,Krone,DKK,8.7397,01/05/2024,31/05/2024
Djibouti,Franc,DJF,221.7915,01/05/2024,31/05/2024
Dominica,E Caribbean Dollar,XCD,3.3635,01/05/2024,31/05/2024
Dominican Republic,Peso,DOP,73.5812,01/05/2024,31/05/2024
Dubai,Dirham,AED,4.5750,01/05/2024,31/05/2024
Egypt,Pound,EGP,60.4679,01/05/2024,31/05/2024
El Salvador,Colon,SVC,10.9003,01/05/2024,31/05/2024
Equatorial Guinea,CFA Franc,XAF,768.3689,01/05/2024,31/05/2024
Eritrea,Nakfa,ERN,18.6862,01/05/2024,31/05/2024
Ethiopia,Birr,ETB,70.9009,01/05/2024,31/05/2024
Eurozone,Euro,EUR,1.1714,01/05/2024,31/05/2024
Fiji Islands,Dollar,FJD,2.8339,01/05/2024,31/05/2024
Fr. Polynesia,CFP Franc,XPF,139.7817,01/05/2024,31/05/2024
