Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.1165,01/05/2021,31/05/2021
Albania,Lek,ALL,142.7000,01/05/2021,31/05/2021
Algeria,Dinar,DZD,184.8300,01/05/2021,31/05/2021
Angola,Readj Kwanza,AOA,918.0000,01/05/2021,31/05/2021
Antigua,E Caribbean Dollar,XCD,3.7610,01/05/2021,31/05/2021
Argentina,Peso,ARS,129.5700,01/05/2021,31/05/2021
Armenia,Dram,AMD,727.4400,01/05/2021,31/05/2021
Aruba,Florin,AWG,2.4934,01/05/2021,31/05/2021
Australia,Dollar,AUD,1.7972,01/05/2021,31/05/2021
Azerbaijan,New Manat,AZN,2.3666,01/05/2021,31/05/2021
Bahamas,Dollar,BSD,1.3930,01/05/2021,31/05/2021
Bahrain,Dinar,BHD,0.5251,01/05/2021,31/05/2021
Bangladesh,Taka,BDT,117.9100,01/05/2021,31/05/2021
Barbados,Dollar,BBD,2.7859,01/05/2021,31/05/2021
Belarus,Rouble,BYN,3.6098,01/05/2021,31/05/2021
Belize,Dollar,BZD,2.7859,01/05/2021,31/05/2021
Benin,CFA Franc,XOF,759.6200,01/05/2021,31/05/2021
Bermuda,Dollar (US),BMD,1.3930,01/05/2021,31/05/2021
Bhutan,Ngultrum,BTN,104.3100,01/05/2021,31/05/2021
Bolivia,Boliviano,BOB,9.6253,01/05/2021,31/05/2021
Bosnia- Herzegovinia,Marka,BAM,2.2649,01/05/2021,31/05/2021
Botswana,Pula,BWP,15.0300,01/05/2021,31/05/2021
Brazil,Real,BRL,7.7311,01/05/2021,31/05/2021
Brunei,Dollar,BND,1.8504,01/05/2021,31/05/2021
Bulgaria,Lev,BGN,2.2650,01/05/2021,31/05/2021
Burkina Faso,CFA Franc,XOF,759.6200,01/05/2021,31/05/2021
Burundi,Franc,BIF,2727.9100,01/05/2021,31/05/2021
Cambodia,Riel,KHR,5645.6300,01/05/2021,31/05/2021
Cameroon Republic,CFA Franc,XAF,759.6200,01/05/2021,31/05/2021
Canada,Dollar,CAD,1.7390,01/05/2021,31/05/2021
Cape Verde Islands,Escudo,CVE,128.4300,01/05/2021,31/05/2021
Cayman Islands,Dollar,KYD,1.1422,01/05/2021,31/05/2021
Central African Republic,CFA Franc,XAF,759.6200,01/05/2021,31/05/2021
Chad,CFA Franc,XAF,759.6200,01/05/2021,31/05/2021
Chile,Peso,CLP,971.6300,01/05/2021,31/05/2021
China,Yuan,CNY,9.0475,01/05/2021,31/05/2021
Colombia,Peso,COP,5075.2900,01/05/2021,31/05/2021
Comoros,Franc,KMF,569.7100,01/05/2021,31/05/2021
Congo (Brazaville),CFA Franc,XAF,759.6200,01/05/2021,31/05/2021
Congo (DemRep),Congo Fr,CDF,2754.2800,01/05/2021,31/05/2021
Costa Rica,Colon,CRC,854.2500,01/05/2021,31/05/2021
Cote d'Ivoire,CFA Franc,XOF,759.6200,01/05/2021,31/05/2021
Croatia,Kuna,HRK,8.7727,01/05/2021,31/05/2021
Cuba,Peso,CUP,1.3930,01/05/2021,31/05/2021
Czech Republic,Koruna,CZK,29.9400,01/05/2021,31/05/2021
Denmark,Krone,DKK,8.6114,01/05/2021,31/05/2021
Djibouti,Franc,DJF,247.5500,01/05/2021,31/05/2021
Dominica,E Caribbean Dollar,XCD,3.7610,01/05/2021,31/05/2021
Dominican Republic,Peso,DOP,79.2400,01/05/2021,31/05/2021
Dubai,Dirham,AED,5.1165,01/05/2021,31/05/2021
Ecuador,Dollar,ECS,1.3930,01/05/2021,31/05/2021
Egypt,Pound,EGP,21.8400,01/05/2021,31/05/2021
El Salvador,Colon,SVC,12.1800,01/05/2021,31/05/2021
Equatorial Guinea,CFA Franc,XAF,759.6200,01/05/2021,31/05/2021
Eritrea,Nakfa,ERN,20.8900,01/05/2021,31/05/2021
Ethiopia,Birr,ETB,56.2900,01/05/2021,31/05/2021
Eurozone,Euro,EUR,1.1580,01/05/2021,31/05/2021
Fiji Islands,Dollar,FJD,2.8234,01/05/2021,31/05/2021
Fr. Polynesia,CFP Franc,XPF,138.1900,01/05/2021,31/05/2021
Gabon,CFA Franc,XAF,759.6200,01/05/2021,31/05/2021
Gambia,Dalasi,GMD,71.1700,01/05/2021,31/05/2021
Georgia,Lari,GEL,4.8126,01/05/2021,31/05/2021
Ghana,Cedi,GHS,8.0513,01/05/2021,31/05/2021
Grenada,E Caribbean Dollar,XCD,3.7610,01/05/2021,31/05/2021
Guatemala,Quetzal,GTQ,10.7400,01/05/2021,31/05/2021
Guinea Bissau,CFA Franc,XOF,759.6200,01/05/2021,31/05/2021
Guinea Republic,Franc,GNF,13832.0200,01/05/2021,31/05/2021
Guyana,Dollar,GYD,291.4200,01/05/2021,31/05/2021
Haiti,Gourde,HTG,115.4400,01/05/2021,31/05/2021
Honduras,Lempira,HNL,33.4600,01/05/2021,31/05/2021
Hong Kong,Dollar,HKD,10.8100,01/05/2021,31/05/2021
Hungary,Forint,HUF,420.2900,01/05/2021,31/05/2021
Iceland,Krona,ISK,174.8600,01/05/2021,31/05/2021
India,Rupee,INR,104.3000,01/05/2021,31/05/2021
Indonesia,Rupiah,IDR,20239.5900,01/05/2021,31/05/2021
Iraq,Dinar,IQD,2035.7900,01/05/2021,31/05/2021
Israel,Shekel,ILS,4.5504,01/05/2021,31/05/2021
Jamaica,Dollar,JMD,210.4300,01/05/2021,31/05/2021
Japan,Yen,JPY,150.6600,01/05/2021,31/05/2021
Jordan,Dinar,JOD,0.9876,01/05/2021,31/05/2021
Kazakhstan,Tenge,KZT,601.8900,01/05/2021,31/05/2021
Kenya,Schilling,KES,151.0600,01/05/2021,31/05/2021
Kuwait,Dinar,KWD,0.4194,01/05/2021,31/05/2021
Kyrgyz Republic,Som,KGS,118.1200,01/05/2021,31/05/2021
Lao People's Dem Rep,Kip,LAK,13124.3900,01/05/2021,31/05/2021
Lebanon,Pound,LBP,2113.6600,01/05/2021,31/05/2021
Lesotho,Loti,LSL,19.8300,01/05/2021,31/05/2021
Liberia,Dollar (US),USD,1.3930,01/05/2021,31/05/2021
Libya,Dinar,LYD,6.2474,01/05/2021,31/05/2021
Macao,Pataca,MOP,11.1300,01/05/2021,31/05/2021
Macedonia,Denar,MKD,71.3000,01/05/2021,31/05/2021
Madagascar,Malagasy Ariary,MGA,5251.4200,01/05/2021,31/05/2021
Malawi,Kwacha,MWK,1099.1300,01/05/2021,31/05/2021
Malaysia,Ringgit,MYR,5.7404,01/05/2021,31/05/2021
Maldive Islands,Rufiyaa,MVR,21.5500,01/05/2021,31/05/2021
Mali Republic,CFA Franc,XOF,759.6200,01/05/2021,31/05/2021
Mauritania,Ouguiya,MRU,49.7700,01/05/2021,31/05/2021
Mauritius,Rupee,MUR,56.6900,01/05/2021,31/05/2021
Mexico,Mexican Peso,MXN,27.6900,01/05/2021,31/05/2021
Moldova,Leu,MDL,25.0700,01/05/2021,31/05/2021
