Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.9576,01/01/2021,31/01/2021
Albania,Lek,ALL,136.9400,01/01/2021,31/01/2021
Algeria,Dinar,DZD,178.0100,01/01/2021,31/01/2021
Angola,Readj Kwanza,AOA,885.2800,01/01/2021,31/01/2021
Antigua,E Caribbean Dollar,XCD,3.6442,01/01/2021,31/01/2021
Argentina,Peso,ARS,111.5200,01/01/2021,31/01/2021
Armenia,Dram,AMD,708.4500,01/01/2021,31/01/2021
Aruba,Florin,AWG,2.4159,01/01/2021,31/01/2021
Australia,Dollar,AUD,1.7842,01/01/2021,31/01/2021
Azerbaijan,New Manat,AZN,2.2931,01/01/2021,31/01/2021
Bahamas,Dollar,BSD,1.3497,01/01/2021,31/01/2021
Bahrain,Dinar,BHD,0.5089,01/01/2021,31/01/2021
Bangladesh,Taka,BDT,114.3800,01/01/2021,31/01/2021
Barbados,Dollar,BBD,2.6994,01/01/2021,31/01/2021
Belarus,Rouble,BYN,3.4034,01/01/2021,31/01/2021
Belize,Dollar,BZD,2.6994,01/01/2021,31/01/2021
Benin,CFA Franc,XOF,726.4900,01/01/2021,31/01/2021
Bermuda,Dollar (US),BMD,1.3497,01/01/2021,31/01/2021
Bhutan,Ngultrum,BTN,99.3204,01/01/2021,31/01/2021
Bolivia,Boliviano,BOB,9.3264,01/01/2021,31/01/2021
Bosnia- Herzegovinia,Marka,BAM,2.1661,01/01/2021,31/01/2021
Botswana,Pula,BWP,14.6800,01/01/2021,31/01/2021
Brazil,Real,BRL,6.9190,01/01/2021,31/01/2021
Brunei,Dollar,BND,1.7942,01/01/2021,31/01/2021
Bulgaria,Lev,BGN,2.1661,01/01/2021,31/01/2021
Burkina Faso,CFA Franc,XOF,726.4900,01/01/2021,31/01/2021
Burundi,Franc,BIF,2623.8000,01/01/2021,31/01/2021
Cambodia,Riel,KHR,5452.7500,01/01/2021,31/01/2021
Cameroon Republic,CFA Franc,XAF,726.4900,01/01/2021,31/01/2021
Canada,Dollar,CAD,1.7223,01/01/2021,31/01/2021
Cape Verde Islands,Escudo,CVE,122.4100,01/01/2021,31/01/2021
Cayman Islands,Dollar,KYD,1.1067,01/01/2021,31/01/2021
Central African Republic,CFA Franc,XAF,726.4900,01/01/2021,31/01/2021
Chad,CFA Franc,XAF,726.4900,01/01/2021,31/01/2021
Chile,Peso,CLP,990.8300,01/01/2021,31/01/2021
China,Yuan,CNY,8.8229,01/01/2021,31/01/2021
Colombia,Peso,COP,4612.4700,01/01/2021,31/01/2021
Comoros,Franc,KMF,544.8600,01/01/2021,31/01/2021
Congo (Brazaville),CFA Franc,XAF,726.4900,01/01/2021,31/01/2021
Congo (DemRep),Congo Fr,CDF,2658.8900,01/01/2021,31/01/2021
Costa Rica,Colon,CRC,816.8000,01/01/2021,31/01/2021
Cote d'Ivoire,CFA Franc,XOF,726.4900,01/01/2021,31/01/2021
