Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.0399,01/04/2021,30/04/2021
Albania,Lek,ALL,142.8600,01/04/2021,30/04/2021
Algeria,Dinar,DZD,183.6800,01/04/2021,30/04/2021
Angola,Readj Kwanza,AOA,859.1600,01/04/2021,30/04/2021
Antigua,E Caribbean Dollar,XCD,3.7047,01/04/2021,30/04/2021
Argentina,Peso,ARS,125.4800,01/04/2021,30/04/2021
Armenia,Dram,AMD,724.9000,01/04/2021,30/04/2021
Aruba,Florin,AWG,2.4561,01/04/2021,30/04/2021
Australia,Dollar,AUD,1.8001,01/04/2021,30/04/2021
Azerbaijan,New Manat,AZN,2.3312,01/04/2021,30/04/2021
Bahamas,Dollar,BSD,1.3721,01/04/2021,30/04/2021
Bahrain,Dinar,BHD,0.5174,01/04/2021,30/04/2021
Bangladesh,Taka,BDT,116.1400,01/04/2021,30/04/2021
Barbados,Dollar,BBD,2.7442,01/04/2021,30/04/2021
Belarus,Rouble,BYN,3.6159,01/04/2021,30/04/2021
Belize,Dollar,BZD,2.7442,01/04/2021,30/04/2021
Benin,CFA Franc,XOF,760.7700,01/04/2021,30/04/2021
Bermuda,Dollar (US),BMD,1.3721,01/04/2021,30/04/2021
Bhutan,Ngultrum,BTN,99.5600,01/04/2021,30/04/2021
Bolivia,Boliviano,BOB,9.4812,01/04/2021,30/04/2021
Bosnia- Herzegovinia,Marka,BAM,2.2684,01/04/2021,30/04/2021
Botswana,Pula,BWP,15.1100,01/04/2021,30/04/2021
Brazil,Real,BRL,7.6298,01/04/2021,30/04/2021
Brunei,Dollar,BND,1.8457,01/04/2021,30/04/2021
Bulgaria,Lev,BGN,2.2684,01/04/2021,30/04/2021
Burkina Faso,CFA Franc,XOF,760.7700,01/04/2021,30/04/2021
Burundi,Franc,BIF,2682.0100,01/04/2021,30/04/2021
Cambodia,Riel,KHR,5559.7400,01/04/2021,30/04/2021
Cameroon Republic,CFA Franc,XAF,760.7700,01/04/2021,30/04/2021
Canada,Dollar,CAD,1.7224,01/04/2021,30/04/2021
Cape Verde Islands,Escudo,CVE,128.4100,01/04/2021,30/04/2021
Cayman Islands,Dollar,KYD,1.1251,01/04/2021,30/04/2021
Central African Republic,CFA Franc,XAF,760.7700,01/04/2021,30/04/2021
Chad,CFA Franc,XAF,760.7700,01/04/2021,30/04/2021
Chile,Peso,CLP,999.2700,01/04/2021,30/04/2021
China,Yuan,CNY,8.9505,01/04/2021,30/04/2021
Colombia,Peso,COP,4994.4700,01/04/2021,30/04/2021
Comoros,Franc,KMF,570.5800,01/04/2021,30/04/2021
Congo (Brazaville),CFA Franc,XAF,760.7700,01/04/2021,30/04/2021
Congo (DemRep),Congo Fr,CDF,2696.0300,01/04/2021,30/04/2021
Costa Rica,Colon,CRC,838.6200,01/04/2021,30/04/2021
Cote d'Ivoire,CFA Franc,XOF,760.7700,01/04/2021,30/04/2021
Croatia,Kuna,HRK,8.7851,01/04/2021,30/04/2021
Cuba,Peso,CUP,1.3721,01/04/2021,30/04/2021
Czech Republic,Koruna,CZK,30.4400,01/04/2021,30/04/2021
Denmark,Krone,DKK,8.6242,01/04/2021,30/04/2021
Djibouti,Franc,DJF,243.8400,01/04/2021,30/04/2021
Dominica,E Caribbean Dollar,XCD,3.7047,01/04/2021,30/04/2021
Dominican Republic,Peso,DOP,78.3400,01/04/2021,30/04/2021
Dubai,Dirham,AED,5.0399,01/04/2021,30/04/2021
Ecuador,Dollar,ECS,1.3721,01/04/2021,30/04/2021
Egypt,Pound,EGP,21.6200,01/04/2021,30/04/2021
El Salvador,Colon,SVC,12.0000,01/04/2021,30/04/2021
Equatorial Guinea,CFA Franc,XAF,760.7700,01/04/2021,30/04/2021
Eritrea,Nakfa,ERN,20.5800,01/04/2021,30/04/2021
Ethiopia,Birr,ETB,55.4400,01/04/2021,30/04/2021
Eurozone,Euro,EUR,1.1598,01/04/2021,30/04/2021
Fiji Islands,Dollar,FJD,2.8352,01/04/2021,30/04/2021
Fr. Polynesia,CFP Franc,XPF,138.4000,01/04/2021,30/04/2021
Gabon,CFA Franc,XAF,760.7700,01/04/2021,30/04/2021
Gambia,Dalasi,GMD,70.3200,01/04/2021,30/04/2021
Georgia,Lari,GEL,4.5828,01/04/2021,30/04/2021
Ghana,Cedi,GHS,7.8896,01/04/2021,30/04/2021
Grenada,E Caribbean Dollar,XCD,3.7047,01/04/2021,30/04/2021
Guatemala,Quetzal,GTQ,10.6000,01/04/2021,30/04/2021
Guinea Bissau,CFA Franc,XOF,760.7700,01/04/2021,30/04/2021
Guinea Republic,Franc,GNF,13762.1600,01/04/2021,30/04/2021
Guyana,Dollar,GYD,287.9300,01/04/2021,30/04/2021
Haiti,Gourde,HTG,107.5100,01/04/2021,30/04/2021
Honduras,Lempira,HNL,32.9500,01/04/2021,30/04/2021
Hong Kong,Dollar,HKD,10.6582,01/04/2021,30/04/2021
Hungary,Forint,HUF,423.1500,01/04/2021,30/04/2021
Iceland,Krona,ISK,173.6100,01/04/2021,30/04/2021
India,Rupee,INR,99.5600,01/04/2021,30/04/2021
Indonesia,Rupiah,IDR,19792.5700,01/04/2021,30/04/2021
Iraq,Dinar,IQD,2006.6900,01/04/2021,30/04/2021
Israel,Shekel,ILS,4.5333,01/04/2021,30/04/2021
Jamaica,Dollar,JMD,199.6300,01/04/2021,30/04/2021
Japan,Yen,JPY,149.3000,01/04/2021,30/04/2021
Jordan,Dinar,JOD,0.9728,01/04/2021,30/04/2021
Kazakhstan,Tenge,KZT,577.2500,01/04/2021,30/04/2021
Kenya,Schilling,KES,150.6500,01/04/2021,30/04/2021
Kuwait,Dinar,KWD,0.4145,01/04/2021,30/04/2021
Kyrgyz Republic,Som,KGS,116.3500,01/04/2021,30/04/2021
Lao People's Dem Rep,Kip,LAK,12890.8700,01/04/2021,30/04/2021
Lebanon,Pound,LBP,2083.3900,01/04/2021,30/04/2021
Lesotho,Loti,LSL,20.4100,01/04/2021,30/04/2021
Liberia,Dollar (US),USD,1.3721,01/04/2021,30/04/2021
Libya,Dinar,LYD,6.1744,01/04/2021,30/04/2021
Macao,Pataca,MOP,10.9700,01/04/2021,30/04/2021
Macedonia,Denar,MKD,71.4100,01/04/2021,30/04/2021
Madagascar,Malagasy Ariary,MGA,5186.5300,01/04/2021,30/04/2021
Malawi,Kwacha,MWK,1074.7500,01/04/2021,30/04/2021
Malaysia,Ringgit,MYR,5.6675,01/04/2021,30/04/2021
Maldive Islands,Rufiyaa,MVR,21.1900,01/04/2021,30/04/2021
Mali Republic,CFA Franc,XOF,760.7700,01/04/2021,30/04/2021
