Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.1958,01/06/2021,30/06/2021
Albania,Lek,ALL,142.3300,01/06/2021,30/06/2021
Algeria,Dinar,DZD,188.4300,01/06/2021,30/06/2021
Angola,Readj Kwanza,AOA,924.9600,01/06/2021,30/06/2021
Antigua,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
Argentina,Peso,ARS,133.2500,01/06/2021,30/06/2021
Armenia,Dram,AMD,736.5800,01/06/2021,30/06/2021
Aruba,Florin,AWG,2.5320,01/06/2021,30/06/2021
Australia,Dollar,AUD,1.8263,01/06/2021,30/06/2021
Azerbaijan,New Manat,AZN,2.4033,01/06/2021,30/06/2021
Bahamas,Dollar,BSD,1.4146,01/06/2021,30/06/2021
Bahrain,Dinar,BHD,0.5333,01/06/2021,30/06/2021
Bangladesh,Taka,BDT,119.8800,01/06/2021,30/06/2021
Barbados,Dollar,BBD,2.8291,01/06/2021,30/06/2021
Belarus,Rouble,BYN,3.5579,01/06/2021,30/06/2021
Belize,Dollar,BZD,2.8291,01/06/2021,30/06/2021
Benin,CFA Franc,XOF,759.5900,01/06/2021,30/06/2021
Bermuda,Dollar (US),BMD,1.4146,01/06/2021,30/06/2021
Bhutan,Ngultrum,BTN,103.5100,01/06/2021,30/06/2021
Bolivia,Boliviano,BOB,9.7745,01/06/2021,30/06/2021
Bosnia- Herzegovinia,Marka,BAM,2.2648,01/06/2021,30/06/2021
Botswana,Pula,BWP,15.1500,01/06/2021,30/06/2021
Brazil,Real,BRL,7.4880,01/06/2021,30/06/2021
Brunei,Dollar,BND,1.8847,01/06/2021,30/06/2021
Bulgaria,Lev,BGN,2.2648,01/06/2021,30/06/2021
Burkina Faso,CFA Franc,XOF,759.5900,01/06/2021,30/06/2021
Burundi,Franc,BIF,2790.1900,01/06/2021,30/06/2021
Cambodia,Riel,KHR,5761.4500,01/06/2021,30/06/2021
Cameroon Republic,CFA Franc,XAF,759.5900,01/06/2021,30/06/2021
Canada,Dollar,CAD,1.7142,01/06/2021,30/06/2021
Cape Verde Islands,Escudo,CVE,128.0800,01/06/2021,30/06/2021
Cayman Islands,Dollar,KYD,1.1599,01/06/2021,30/06/2021
Central African Republic,CFA Franc,XAF,759.5900,01/06/2021,30/06/2021
Chad,CFA Franc,XAF,759.5900,01/06/2021,30/06/2021
Chile,Peso,CLP,1013.4800,01/06/2021,30/06/2021
China,Yuan,CNY,9.1069,01/06/2021,30/06/2021
Colombia,Peso,COP,5222.4900,01/06/2021,30/06/2021
Comoros,Franc,KMF,569.6900,01/06/2021,30/06/2021
Congo (Brazaville),CFA Franc,XAF,759.5900,01/06/2021,30/06/2021
Congo (DemRep),Congo Fr,CDF,2827.6800,01/06/2021,30/06/2021
Costa Rica,Colon,CRC,871.0600,01/06/2021,30/06/2021
Cote d'Ivoire,CFA Franc,XOF,759.5900,01/06/2021,30/06/2021
Croatia,Kuna,HRK,8.6953,01/06/2021,30/06/2021
Cuba,Peso,CUP,1.4145,01/06/2021,30/06/2021
Czech Republic,Koruna,CZK,29.4900,01/06/2021,30/06/2021
Denmark,Krone,DKK,8.6107,01/06/2021,30/06/2021
Djibouti,Franc,DJF,251.3900,01/06/2021,30/06/2021
Dominica,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
Dominican Republic,Peso,DOP,80.4500,01/06/2021,30/06/2021
Dubai,Dirham,AED,5.1958,01/06/2021,30/06/2021
Ecuador,Dollar,ECS,1.4146,01/06/2021,30/06/2021
Egypt,Pound,EGP,22.1800,01/06/2021,30/06/2021
El Salvador,Colon,SVC,12.3800,01/06/2021,30/06/2021
Equatorial Guinea,CFA Franc,XAF,759.5900,01/06/2021,30/06/2021
Eritrea,Nakfa,ERN,21.2100,01/06/2021,30/06/2021
Ethiopia,Birr,ETB,60.5700,01/06/2021,30/06/2021
Eurozone,Euro,EUR,1.1580,01/06/2021,30/06/2021
Fiji Islands,Dollar,FJD,2.8647,01/06/2021,30/06/2021
Fr. Polynesia,CFP Franc,XPF,138.1800,01/06/2021,30/06/2021
Gabon,CFA Franc,XAF,759.5900,01/06/2021,30/06/2021
Gambia,Dalasi,GMD,72.3500,01/06/2021,30/06/2021
Georgia,Lari,GEL,4.7670,01/06/2021,30/06/2021
Ghana,Cedi,GHS,8.1549,01/06/2021,30/06/2021
Grenada,E Caribbean Dollar,XCD,3.8193,01/06/2021,30/06/2021
Guatemala,Quetzal,GTQ,10.9000,01/06/2021,30/06/2021
Guinea Bissau,CFA Franc,XOF,759.5900,01/06/2021,30/06/2021
Guinea Republic,Franc,GNF,13940.3700,01/06/2021,30/06/2021
Guyana,Dollar,GYD,295.9000,01/06/2021,30/06/2021
Haiti,Gourde,HTG,124.1900,01/06/2021,30/06/2021
Honduras,Lempira,HNL,33.9100,01/06/2021,30/06/2021
Hong Kong,Dollar,HKD,10.9800,01/06/2021,30/06/2021
Hungary,Forint,HUF,404.9500,01/06/2021,30/06/2021
Iceland,Krona,ISK,173.3400,01/06/2021,30/06/2021
India,Rupee,INR,103.5100,01/06/2021,30/06/2021
Indonesia,Rupiah,IDR,20206.8300,01/06/2021,30/06/2021
Iraq,Dinar,IQD,2068.7700,01/06/2021,30/06/2021
Israel,Shekel,ILS,4.6208,01/06/2021,30/06/2021
Jamaica,Dollar,JMD,212.1700,01/06/2021,30/06/2021
Japan,Yen,JPY,153.6100,01/06/2021,30/06/2021
Jordan,Dinar,JOD,1.0029,01/06/2021,30/06/2021
Kazakhstan,Tenge,KZT,605.8500,01/06/2021,30/06/2021
Kenya,Schilling,KES,152.5500,01/06/2021,30/06/2021
Kuwait,Dinar,KWD,0.4254,01/06/2021,30/06/2021
Kyrgyz Republic,Som,KGS,119.1700,01/06/2021,30/06/2021
Lao People's Dem Rep,Kip,LAK,13353.3200,01/06/2021,30/06/2021
Lebanon,Pound,LBP,2142.1900,01/06/2021,30/06/2021
Lesotho,Loti,LSL,19.8600,01/06/2021,30/06/2021
