Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.7333,01/08/2023,31/08/2023
Albania,Lek,ALL,116.0810,01/08/2023,31/08/2023
Algeria,Dinar,DZD,173.2581,01/08/2023,31/08/2023
Angola,Readj Kwanza,AOA,1076.6614,01/08/2023,31/08/2023
Antigua,E Caribbean Dollar,XCD,3.4793,01/08/2023,31/08/2023
Argentina,Peso,ARS,345.7123,01/08/2023,31/08/2023
Armenia,Dram,AMD,499.0657,01/08/2023,31/08/2023
Aruba,Florin,AWG,2.3067,01/08/2023,31/08/2023
Australia,Dollar,AUD,1.9070,01/08/2023,31/08/2023
Azerbaijan,New Manat,AZN,2.1939,01/08/2023,31/08/2023
Bahamas,Dollar,BSD,1.2886,01/08/2023,31/08/2023
Bahrain,Dinar,BHD,0.4858,01/08/2023,31/08/2023
Bangladesh,Taka,BDT,139.8822,01/08/2023,31/08/2023
Barbados,Dollar,BBD,2.5773,01/08/2023,31/08/2023
Belarus,Rouble,BYN,3.2216,01/08/2023,31/08/2023
Belize,Dollar,BZD,2.5773,01/08/2023,31/08/2023
Benin,CFA Franc,XOF,755.3342,01/08/2023,31/08/2023
Bermuda,Dollar (US),BMD,1.2886,01/08/2023,31/08/2023
Bhutan,Ngultrum,BTN,105.7912,01/08/2023,31/08/2023
Bolivia,Boliviano,BOB,8.9045,01/08/2023,31/08/2023
Bosnia- Herzegovinia,Marka,BAM,2.2521,01/08/2023,31/08/2023
Botswana,Pula,BWP,16.9224,01/08/2023,31/08/2023
Brazil,Real,BRL,6.1785,01/08/2023,31/08/2023
Brunei,Dollar,BND,1.7090,01/08/2023,31/08/2023
Bulgaria,Lev,BGN,2.2522,01/08/2023,31/08/2023
Burkina Faso,CFA Franc,XOF,755.3342,01/08/2023,31/08/2023
Burundi,Franc,BIF,3662.9688,01/08/2023,31/08/2023
Cambodia,Riel,KHR,5320.8077,01/08/2023,31/08/2023
Cameroon Republic,CFA Franc,XAF,755.3342,01/08/2023,31/08/2023
Canada,Dollar,CAD,1.6979,01/08/2023,31/08/2023
Cape Verde Islands,Escudo,CVE,127.4468,01/08/2023,31/08/2023
Cayman Islands,Dollar,KYD,1.0567,01/08/2023,31/08/2023
Central African Republic,CFA Franc,XAF,755.3342,01/08/2023,31/08/2023
Chad,CFA Franc,XAF,755.3342,01/08/2023,31/08/2023
Chile,Peso,CLP,1047.0871,01/08/2023,31/08/2023
China,Yuan,CNY,9.3022,01/08/2023,31/08/2023
Colombia,Peso,COP,5123.3708,01/08/2023,31/08/2023
Comoros,Franc,KMF,566.5007,01/08/2023,31/08/2023
Congo (Brazaville),CFA Franc,XAF,755.3342,01/08/2023,31/08/2023
Congo (DemRep),Congo Fr,CDF,3195.8357,01/08/2023,31/08/2023
Costa Rica,Colon,CRC,694.7205,01/08/2023,31/08/2023
Cote d'Ivoire,CFA Franc,XOF,755.3342,01/08/2023,31/08/2023
Cuba,Peso,CUP,30.9856,01/08/2023,31/08/2023
Czech Republic,Koruna,CZK,27.5560,01/08/2023,31/08/2023
Denmark,Krone,DKK,8.5799,01/08/2023,31/08/2023
Djibouti,Franc,DJF,229.4961,01/08/2023,31/08/2023
Dominica,E Caribbean Dollar,XCD,3.4793,01/08/2023,31/08/2023
Dominican Republic,Peso,DOP,72.2156,01/08/2023,31/08/2023
Dubai,Dirham,AED,4.7333,01/08/2023,31/08/2023
Ecuador,Dollar,ECS,1.2886,01/08/2023,31/08/2023
Egypt,Pound,EGP,39.8486,01/08/2023,31/08/2023
El Salvador,Colon,SVC,11.2783,01/08/2023,31/08/2023
Equatorial Guinea,CFA Franc,XAF,755.3342,01/08/2023,31/08/2023
Eritrea,Nakfa,ERN,19.3296,01/08/2023,31/08/2023
Ethiopia,Birr,ETB,70.9165,01/08/2023,31/08/2023
Eurozone,Euro,EUR,1.1515,01/08/2023,31/08/2023
Fiji Islands,Dollar,FJD,2.8587,01/08/2023,31/08/2023
Fr. Polynesia,CFP Franc,XPF,137.4104,01/08/2023,31/08/2023
Gabon,CFA Franc,XAF,755.3342,01/08/2023,31/08/2023
Gambia,Dalasi,GMD,76.8676,01/08/2023,31/08/2023
Georgia,Lari,GEL,3.3067,01/08/2023,31/08/2023
Ghana,Cedi,GHS,14.6390,01/08/2023,31/08/2023
