Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,5.0071,01/02/2021,28/02/2021
Albania,Lek,ALL,138.9000,01/02/2021,28/02/2021
Algeria,Dinar,DZD,180.7600,01/02/2021,28/02/2021
Angola,Readj Kwanza,AOA,886.7300,01/02/2021,28/02/2021
Antigua,E Caribbean Dollar,XCD,3.6805,01/02/2021,28/02/2021
Argentina,Peso,ARS,117.6700,01/02/2021,28/02/2021
Armenia,Dram,AMD,707.7300,01/02/2021,28/02/2021
Aruba,Florin,AWG,2.4401,01/02/2021,28/02/2021
Australia,Dollar,AUD,1.7604,01/02/2021,28/02/2021
Azerbaijan,New Manat,AZN,2.3160,01/02/2021,28/02/2021
Bahamas,Dollar,BSD,1.3632,01/02/2021,28/02/2021
Bahrain,Dinar,BHD,0.5139,01/02/2021,28/02/2021
Bangladesh,Taka,BDT,115.5200,01/02/2021,28/02/2021
Barbados,Dollar,BBD,2.7263,01/02/2021,28/02/2021
Belarus,Rouble,BYN,3.4572,01/02/2021,28/02/2021
Belize,Dollar,BZD,2.7263,01/02/2021,28/02/2021
Benin,CFA Franc,XOF,738.6800,01/02/2021,28/02/2021
Bermuda,Dollar (US),BMD,1.3632,01/02/2021,28/02/2021
Bhutan,Ngultrum,BTN,99.5500,01/02/2021,28/02/2021
Bolivia,Boliviano,BOB,9.4194,01/02/2021,28/02/2021
Bosnia- Herzegovinia,Marka,BAM,2.2025,01/02/2021,28/02/2021
Botswana,Pula,BWP,14.8800,01/02/2021,28/02/2021
Brazil,Real,BRL,7.2223,01/02/2021,28/02/2021
Brunei,Dollar,BND,1.8068,01/02/2021,28/02/2021
Bulgaria,Lev,BGN,2.2026,01/02/2021,28/02/2021
Burkina Faso,CFA Franc,XOF,738.6800,01/02/2021,28/02/2021
Burundi,Franc,BIF,2659.5200,01/02/2021,28/02/2021
Cambodia,Riel,KHR,5528.9700,01/02/2021,28/02/2021
Cameroon Republic,CFA Franc,XAF,738.6800,01/02/2021,28/02/2021
Canada,Dollar,CAD,1.7215,01/02/2021,28/02/2021
Cape Verde Islands,Escudo,CVE,124.5900,01/02/2021,28/02/2021
Cayman Islands,Dollar,KYD,1.1178,01/02/2021,28/02/2021
Central African Republic,CFA Franc,XAF,738.6800,01/02/2021,28/02/2021
Chad,CFA Franc,XAF,738.6800,01/02/2021,28/02/2021
Chile,Peso,CLP,988.4200,01/02/2021,28/02/2021
China,Yuan,CNY,8.8099,01/02/2021,28/02/2021
Colombia,Peso,COP,4730.0600,01/02/2021,28/02/2021
Comoros,Franc,KMF,554.0100,01/02/2021,28/02/2021
Congo (Brazaville),CFA Franc,XAF,738.6800,01/02/2021,28/02/2021
Congo (DemRep),Congo Fr,CDF,2686.7800,01/02/2021,28/02/2021
Costa Rica,Colon,CRC,830.8500,01/02/2021,28/02/2021
Cote d'Ivoire,CFA Franc,XOF,738.6800,01/02/2021,28/02/2021
Croatia,Kuna,HRK,8.5173,01/02/2021,28/02/2021
Cuba,Peso,CUP,1.3632,01/02/2021,28/02/2021
Czech Republic,Koruna,CZK,29.3700,01/02/2021,28/02/2021
Denmark,Krone,DKK,8.3763,01/02/2021,28/02/2021
